Article,Word,Plural,Translation,Category
,Hallo,,Hola,interjection
,Guten Tag,,Buenos días,expression
,Guten Morgen,,Buenos días,expression
,Guten Abend,,Buenas tardes,expression
,Auf Wiedersehen,,Hasta la vista,expression
,Tschüss,,Adiós,interjection
,Gute Nacht,,Buenas noches,expression
,Bis bald,,Hasta pronto,expression
,Bis später,,Hasta luego,expression
,Bis morgen,,Hasta mañana,expression
,heißen,,llamarse,verb
,wer,,quién,pronoun
,was,,qué,pronoun
,warum,,por qué,adverb
,wo,,dónde,adverb
,wann,,cuándo,adverb
,wie,,cómo,adverb
,woher,,de dónde,adverb
,wohin,,adónde,adverb
,welch -e/-er/-es,,cuál,determiner
,wie viel,,cuánto (incontable),adverb
,wie viele,,cuántos (contable),adverb
,wessen,,de quién,pronoun
der,Cent,Cent,céntimo,noun
das,Bild,Bilder,imagen / cuadro / foto,noun
der,Tag,Tage,día,noun
die,Katze,Katzen,gato / gata,noun
der,König,Könige,rey,noun
die,Qualität,Qualitäten,calidad,noun
die,Sonne,Sonnen,sol,noun
das,Haus,Häuser,casa,noun
der,Van,Vans,furgoneta,noun
der,Vater,Väter,padre,noun
das,Baby,Babys,bebé,noun
der,Typ,Typen,tipo / chico (dude),noun
die,Straße,Straßen,calle,noun
der,Saal,Säle,vestíbulo,noun
das,Meer,Meere,mar,noun
der,Lehrer,Lehrer,profesor,noun  
die,Lehrerin,Lehrerinnen,profesora,noun
die,Uhr,Uhren,reloj,noun
,ja,,sí,interjection
,gut,,bueno,adjective
,legen,,poner / colocar / acostar (to lay),verb
der,Kamm,Kämme,peine,noun
der,Hund,Hunde,perro,noun
,mein,,mi,pronoun
das,Eis,,helado / hielo,noun
,blau,,azul,adjective
der,Kauf,Käufe,compra,noun
,Deutschland,,Alemania,proper noun
der,Traum,Träume,sueño,noun
die,Liebe,,amor,noun
,lieben,,amar / querer,verb
,hier,,aquí,adverb
das,Spiel,Spiele,juego,noun
,spielen,,jugar,verb
,ich,,yo,pronoun
,ich,,yo,pronoun
,du,,tú,pronoun
,Sie,,usted,pronoun
,er,,él,pronoun
,sie,,ella,pronoun
,es,,ello / eso,pronoun
,wir,,nosotros,pronoun
,ihr,,vosotros,pronoun
,Sie,,ustedes,pronoun
,sie,,ellos,pronoun
,null,,cero,number
,eins,,uno,number
,zwei,,dos,number
,drei,,tres,number
,vier,,cuatro,number
,fünf,,cinco,number
,sechs,,seis,number
,sieben,,siete,number
,acht,,ocho,number
,neun,,nueve,number
,zehn,,diez,number
,elf,,once,number
,zwölf,,doce,number
,hundert,,cien / 100,number
,tausend,,mil / 1 000,number
,Million,,millón / 1 000 000,number
,Milliarde,,mil millones / 1 000 000 000 (1B),number
,Billion,,billón / 1 000 000 000 000 (1T),number
das,Licht,Lichter,luz,noun
das,Buch,Bücher,libro,noun
die,Nacht,Nächte,noche,noun
die,Schule,Schulen,escuela,noun
,falsch,,falso / incorrecto,adjective
,backen,,hornear / cocer al horno,verb
der,Schreck,Schrecke,susto,noun
das,Alphabet,Alphabete,alfabeto,noun
das,Pferd,Pferde,caballo,noun
der,Platz,Plätze,sitio,noun
