Article,Word,Plural,Translation,Category
der,Fall,Fälle,caso / situación,noun
der,Kasus,Kasus,caso gramatical,noun
,sein,,ser/estar,verb
,werden,,llegar a ser,verb
,bleiben,,permanecer,verb
,lesen,,leer,verb
der,Garten,Gärten,jardín,noun
,lernen,,aprender,verb
,fliegen,,volar,verb
der,Mond,Monde,luna,noun
der,Astronaut,Astronauten,astronauta,noun
,schnell,,rápido,adjective
,singen,,cantar,verb
das,Lied,Lieder,canción,noun
,regnen,,llover,verb
,heute,,hoy,adverb
,erklären,,explicar,verb
die,Grammatik,Grammatiken,gramática,noun
der,Vogel,Vögel,pájaro,noun
,sitzen,,sentarse,verb
die,Leute,,gente,noun
,schlafen,,dormir,verb
das,Sofa,Sofas,sofá,noun
das,Kino,Kinos,cine,noun
die,Schwester,Schwestern,hermana,noun
,wohnen,,residir,verb
,bellen,,ladrar,verb
,laut,,fuerte (loud),adjective
der,Park,Parks,parque,noun
der,Ingenieur,Ingenieure,ingeniero,noun
das,Problem,Probleme,problema,noun
der,Koch,Köche,cocinero,noun
der,Rentner,Rentner,jubilado,noun
,alt,,viejo,adjective
,scheinen,,brillar,verb
,viel,,mucho,adverb
